COMMON_NAME,BLD_ADDRESS,PARCEL_ADDRESS,STRUCTURE_TYPE,WARD,COMMUNITY,GLOBALID,MULTIPOLYGON
7705 BOWNESS RD NW HOUSING,7705 BOWNESS RD NW,7707 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{222A4719-AC7D-44A5-B501-042BAF30CF59},"MULTIPOLYGON (((-114.1969252 51.0885339, -114.1968427 51.0885341, -114.1968431 51.0886106, -114.1969269 51.0886104, -114.1969252 51.0885339)))"
7531 BOWNESS RD NW HOUSING,7531 BOWNESS RD NW,7529 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{D8552A21-881F-4762-952E-4F72EF05B964},"MULTIPOLYGON (((-114.1952799 51.088511, -114.1952823 51.0885881, -114.1953644 51.0885876, -114.1953633 51.0885105, -114.1952799 51.088511)))"
7701 BOWNESS RD NW HOUSING,7701 BOWNESS RD NW,7707 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{F07A1F81-2D3F-4ACD-9EA1-8EBF431F6AED},"MULTIPOLYGON (((-114.1966988 51.0885347, -114.1966159 51.0885347, -114.196616 51.0886108, -114.1967011 51.0886108, -114.1966988 51.0885347)))"
7713 BOWNESS RD NW HOUSING,7713 BOWNESS RD NW,7723 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{A51AA8CC-FBA6-4070-9123-C875E3BD8258},"MULTIPOLYGON (((-114.1973618 51.0885052, -114.1972784 51.0885054, -114.1972789 51.0885817, -114.1973635 51.0885815, -114.1973618 51.0885052)))"
7537 BOWNESS RD NW HOUSING,7537 BOWNESS RD NW,7537 BOWNESS RD NW,HOUSING - DUPLEX,WARD 1,BOWNESS,{3C785683-0D7C-4FC0-8D34-6731AADAB85A},"MULTIPOLYGON (((-114.1957167 51.0885099, -114.1956331 51.0885106, -114.1956346 51.088587, -114.1957197 51.0885863, -114.1957167 51.0885099)))"
BEARSPAW SALT SILO,11444 BEARSPAW DAM RD NW,11000 BEARSPAW DAM RD NW,SALT SILO,WARD 1,01B,{C612E53E-23C5-4033-90F1-21A65AF59593},"MULTIPOLYGON (((-114.2561342 51.1070171, -114.2561407 51.1067978, -114.2561367 51.1065823, -114.2561283 51.1065769, -114.2561341 51.1065267, -114.2549447 51.1065233, -114.2549343 51.1065836, -114.2548137 51.1065858, -114.2548168 51.1070196, -114.2561342 51.1070171)))"
#10 6504 35 AV NW HOUSING,#10 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{6DE57008-5246-40D5-B022-752189754AB9},"MULTIPOLYGON (((-114.1835702 51.0846717, -114.183569 51.0847216, -114.1836641 51.0847266, -114.1836825 51.0847272, -114.1836953 51.0847272, -114.183695 51.0846725, -114.1835702 51.0846717)))"
SCENIC ACRES COMMUNITY ASSOCIATION,8825 SCURFIELD DR NW,8825 SCURFIELD DR NW,COMMUNITY GATHERING,WARD 1,SCENIC ACRES,{72A87644-7BE4-4D8F-915B-2756070A0D0B},"MULTIPOLYGON (((-114.2147168 51.1215998, -114.2145716 51.1216032, -114.2145741 51.121645, -114.2145779 51.12171, -114.2145828 51.1217932, -114.2145847 51.1217931, -114.2146286 51.1217921, -114.2146299 51.1218146, -114.2149266 51.1218077, -114.2149273 51.1218077, -114.2149163 51.1216215, -114.2147184 51.1216261, -114.2147168 51.1215998)))"
VALLEY RIDGE SANITARY LIFT STATION,11618 VALLEY RIDGE PA NW,11618 VALLEY RIDGE PA NW,LIFT STATION,WARD 1,VALLEY RIDGE,{8975C0C3-C6A3-4D89-A723-D7F8D60EE838},"MULTIPOLYGON (((-114.2552551 51.1001154, -114.2552418 51.1001288, -114.2551915 51.1001794, -114.2552688 51.1002096, -114.2553271 51.1001496, -114.2553309 51.1001456, -114.2552637 51.1001189, -114.2552551 51.1001154)))"
HASKAYNE LEGACY PARK PAVILION,N/A,9000 149 ST NW,PUBLIC GATHERING,WARD 1,HASKAYNE,{3AC2D813-08CB-41AF-BCF7-DA310150C133},"MULTIPOLYGON (((-114.2985676 51.1315477, -114.2982415 51.1312766, -114.2981221 51.131399, -114.2984516 51.1316736, -114.2985676 51.1315477)))"
CRESTMONT IRRIGATION PUMP HOUSE,12093 TRANS CANADA HI SW,90 CRESTRIDGE BA SW,PUMP HOUSE,WARD 1,CRESTMONT,{158C2BFC-229D-4919-A03A-D68E74093217},"MULTIPOLYGON (((-114.2740299 51.0872146, -114.2740522 51.0871622, -114.2739191 51.0871392, -114.2738983 51.0871897, -114.2740299 51.0872146)))"
#9 6504 35 AV NW HOUSING,#9 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{2846C40B-75F5-4D16-91D9-5EE13775FB2F},"MULTIPOLYGON (((-114.1835702 51.0846717, -114.183695 51.0846725, -114.1836947 51.0846146, -114.183682 51.0846153, -114.1836705 51.0846153, -114.1836706 51.0846115, -114.1835774 51.0846109, -114.1835768 51.0846332, -114.1835711 51.0846331, -114.1835702 51.0846717)))"
